,precision,recall,f1-score,support
0,0.9109099571224393,0.9629007889877456,0.9361841031499918,5957.0
1,0.7206068268015171,0.5039787798408488,0.5931321540062435,1131.0
accuracy,0.8896726862302483,0.8896726862302483,0.8896726862302483,0.8896726862302483
macro avg,0.8157583919619782,0.7334397844142972,0.7646581285781177,7088.0
weighted avg,0.8805441500692561,0.8896726862302483,0.8814448601362249,7088.0
